group,size_total,size_start,size_confirm,conversion_rate,reduction_total_to_start,reduction_start_to_confirm,reduction_total_to_confirm
control,23526,17416,14210,0.6040125818243646,-0.25971265833545865,-0.18408360128617363,-0.39598741817563543
test,26961,21259,17939,0.6653684952338563,-0.2114906717109899,-0.1561691518886119,-0.3346315047661437
