Variation,TD,SD,S1,S2,S3,BS1,BS1
Control,6.367989460665698,0.7429284888459279,0.6248141281887878,1.5823458529910341,1.7765923268139394,0.6127032520325203,0.6127032520325203
Test,6.147208839673066,0.7268820989392659,0.7528805545740581,1.4832446279347393,1.4258819595385386,0.6066035557607943,0.6066035557607943
