Variation,TD,SD,S3,S1,S2
Control,6.367989460665698,0.7429284888459279,1.7765923268139394,1.2375173802213082,2.28633731159813
Test,6.147208839673066,0.7268820989392659,1.4258819595385386,1.3594841103348525,2.306476160171753
