age_category,TD_control,TD_test,TD_difference,TD_difference%,SD_control,SD_test,SD_difference,SD_difference%,S1_control,S1_test,S1_difference,S1_difference%,S2_control,S2_test,S2_difference,S2_difference%,S3_control,S3_test,S3_difference,S3_difference%,BS1_control,BS1_test,BS1_difference,BS1_difference%,BS2_control,BS2_test,bs2_difference,bs2_difference%
20-30,4.992638954495355,4.891740356273228,-0.10089859822212688,-0.020209472213342794,0.5514500055984771,0.5868555525139155,0.0354055469154384,0.06420445472117375,0.38593356242840776,0.636574210681617,0.25064064825320925,0.6494398846166796,1.5638018843901196,1.4196356682769726,-0.14416621611314695,-0.09218956541248291,1.3844884488448845,0.9786148684072559,-0.40587358043762867,-0.2931577946903492,0.5028253424657534,0.5477199743095696,0.04489463184381626,0.08928474373161488,0.48501267427122935,0.545692883895131,0.06068020962390169,0.125110564821999
30-40,5.3535349515850905,5.033950825193668,-0.31958412639142253,-0.05969590733629171,0.5840009606147935,0.6277611021319172,0.04376014151712371,0.07493162591899893,0.45304364846349576,0.6220545799323934,0.16901093146889767,0.3730566183680111,1.6189157273215244,1.4697404025029595,-0.149175324818565,-0.09214520700553919,1.3981741573033708,1.0193708458526813,-0.37880331145068946,-0.27092712983715805,0.5363683127572016,0.5097838452787258,-0.02658446747847587,-0.04956382926839653,0.48977823977823975,0.6300112612612612,0.14023302148302141,0.286319419879731
40-50,6.144285714285714,5.995371473976957,-0.14891424030875733,-0.024236216744043304,0.6663267508363009,0.6925565491846396,0.026229798348338718,0.03936476858450888,0.5995880026367831,0.6903723757955732,0.09078437315879007,0.15141125699572267,1.8093014967925871,1.6545358952299016,-0.15476560156268548,-0.08553886781006037,1.6255164498852335,1.2864486464145484,-0.3390678034706851,-0.2085908164722814,0.5665137614678899,0.5691654172913543,0.0026516558234643828,0.004680655623605201,0.6371848739495799,0.6997584541062801,0.06257358015670023,0.09820317888094077
50-60,7.235888480392156,7.238485380116959,0.0025968997248027037,0.00035889161805635617,0.8286657974793569,0.7890736607142856,-0.03959213676507123,-0.04777817171349774,0.7344552546235428,0.8263081166272656,0.09185286200372278,0.1250625704227597,1.7960214446952596,1.7091731571080166,-0.08684828758724294,-0.048355930183216156,1.9641148325358853,1.6757068062827225,-0.28840802625316275,-0.1468386784090402,0.6852401906857353,0.6485462555066079,-0.036693935179127335,-0.0535490119784231,0.7959285714285714,0.8629547689282203,0.06702619749964889,0.08421132235440054
60-70,7.62734793187348,7.519951668932185,-0.107396262941295,-0.014080420075305966,0.9621845949535193,0.8696100382498367,-0.09257455670368253,-0.09621288595683097,0.8436947521539667,0.9140868263473054,0.0703920741933387,0.08343310659883407,1.2650259909031838,1.2380030680382603,-0.02702292286492347,-0.021361555461504866,2.3154802259887006,1.9914059872182979,-0.32407423877040276,-0.1399598386257107,0.6766747868453106,0.6631786941580756,-0.01349609268723495,-0.01994472522044799,0.897722400857449,0.9546766169154228,0.056954216057973794,0.063443015350374
over 70,8.421436683702442,7.832216638749301,-0.5892200449531408,-0.06996668942407736,1.1276102464332036,0.9841116478797638,-0.14349859855343983,-0.1272590409739065,0.9796470999301189,1.0369124423963134,0.057265342466194524,0.05845507271983896,1.1296442687747037,1.1757774140752864,0.046133145300582656,0.04083864856909525,2.6634211810639337,2.351617199391172,-0.3118039816727616,-0.117068972751883,0.7114427860696517,0.639297385620915,-0.07214540044873674,-0.10140717126011245,1.0487623762376237,1.0660071942446043,0.017244818006980633,0.016443017405759264
under 20,4.911548556430446,4.963008130081301,0.051459573650854296,0.010477260493226837,0.5619883040935673,0.5724242424242424,0.010435938330675132,0.018569671743448923,0.3244575936883629,0.6846761453396525,0.3602185516512896,1.1102176637519987,1.4192982456140353,1.4223832528180353,0.0030850072040000676,0.002173614470061924,1.509703196347032,1.0055555555555555,-0.5041476407914764,-0.3339382482671708,0.5659722222222222,0.5722222222222222,0.006249999999999978,0.01104294478527601,0.6090476190476191,0.3929824561403508,-0.21606516290726824,-0.3547590634130283
