gendr,age_category,TD_control,TD_test,TD_difference,TD_difference%,SD_control,SD_test,SD_difference,SD_difference%,S1_control,S1_test,S1_difference,S1_difference%,S2_control,S2_test,S2_difference,S2_difference%,S3_control,S3_test,S3_difference,S3_difference%,BS1_control,BS1_test,BS1_difference,BS1_difference%,BS2_control,BS2_test,bs2_difference,bs2_difference%
F,20-30,5.284587813620071,4.884158075601374,-0.40042973801869675,-0.0757731259544333,0.581549815498155,0.558257804632427,-0.023292010865727963,-0.040051617668859674,0.430788330229671,0.606164757228587,0.17537642699891598,0.40710579811996195,1.5131169709263017,1.3508672086720868,-0.16224976225421495,-0.10722882987353499,1.4070053887605851,1.0607329842931936,-0.3462724044673915,-0.2461059546988792,0.4493333333333333,0.4927083333333333,0.043375,0.09653189910979232,0.49923371647509573,0.6232758620689655,0.12404214559386972,0.24846508058326933
F,30-40,5.170362811791383,4.871829916476841,-0.2985328953145423,-0.057739254706404064,0.5805960479429867,0.5936393525543753,0.013043304611388584,0.02246536926594689,0.4871219674310402,0.6021267723102585,0.11500480487921827,0.2360903686723983,1.5049622437971952,1.3935493037794828,-0.1114129400177124,-0.0740303887867676,1.403552894211577,1.0532057267351385,-0.35034716747643846,-0.24961450966423337,0.5293439716312057,0.5590740740740741,0.029730102442868334,0.05616405217812015,0.5066666666666666,0.6441176470588236,0.13745098039215697,0.2712848297213626
F,40-50,6.377276805742485,6.132467793880838,-0.24480901186164772,-0.03838770361060806,0.6965522875816994,0.6933742645177794,-0.00317802306392001,-0.004562504668462863,0.6226118904475618,0.6886850152905198,0.06607312484295802,0.10612249116453865,1.7066808813077468,1.5919140514560361,-0.1147668298517106,-0.06724562928470279,1.6647254901960784,1.3001853568118629,-0.36454013338421554,-0.21897912630705163,0.5128148148148148,0.6327561327561327,0.1199413179413179,0.23388816874300034,0.6012387387387388,0.7200258397932816,0.11878710105454282,0.1975706044885448
F,50-60,7.118442334739804,7.319079578139981,0.20063724340017686,0.028185554362225584,0.8231447465099191,0.8159359359359359,-0.007208810573983149,-0.008757646336866043,0.7856235997012696,0.8260540184453228,0.040430418744053176,0.05146283634990945,1.6780506523407521,1.6210821685726389,-0.056968483768113254,-0.033949203910291104,1.9791069295101553,1.7190064794816413,-0.260100450028514,-0.13142314149387113,0.6408465608465609,0.6180190058479532,-0.02282755499860767,-0.03562093704373226,0.8369629629629629,0.8563405797101449,0.01937761674718197,0.023152298972206165
F,60-70,7.477142857142857,7.517467340918668,0.04032448377581144,0.005393033749153231,0.9533509700176366,0.8844427441979087,-0.06890822581972789,-0.07228001857327859,0.8724159021406728,0.8954832509610103,0.023067348820337563,0.02644077069633477,1.1512697022767076,1.2006574141709276,0.04938771189422009,0.042898472700664936,2.314360465116279,2.0165737298636928,-0.29778673525258625,-0.1286691246852183,0.7020569620253164,0.6549692172383464,-0.047087744786969976,-0.06707111720839543,0.8847352024922119,0.9527443105756358,0.06800910808342386,0.0768694496295037
F,over 70,7.881372549019607,7.480607476635513,-0.4007650723840941,-0.05084965466249236,1.0540841584158416,0.9743936243936244,-0.07969053402221715,-0.0756016807443366,0.9694663167104112,1.0311244979919678,0.061658181281556645,0.0636001274296718,1.0502931323283082,1.131298245614035,0.08100511328572679,0.07712619533763232,2.5475563909774435,2.3634328358208956,-0.18412355515654788,-0.07227457488621225,0.7034653465346534,0.5978431372549019,-0.10562220927975152,-0.15014557547156793,1.0604700854700855,1.0050724637681159,-0.0553976217019696,-0.05223874059343492
F,under 20,4.852777777777778,6.4079710144927535,1.5551932367149757,0.320474851297877,0.6322916666666667,0.7494623655913979,0.1171706989247312,0.18531115480682359,0.3666666666666667,0.6316091954022989,0.2649425287356322,0.7225705329153604,1.2305555555555556,1.5006666666666666,0.27011111111111097,0.21950338600451458,1.2722222222222221,1.073076923076923,-0.1991452991452991,-0.15653342290896877,1.02,0.5683333333333332,-0.45166666666666677,-0.44281045751633996,0.05,0.5291666666666666,0.4791666666666666,9.58333333333333
M,20-30,4.873219086021505,4.938841567291312,0.06562248126980652,0.013465941118477431,0.5270123456790123,0.6304727850615813,0.10346043938256899,0.1963150203801558,0.4431266149870801,0.6465894465894466,0.2034628316023665,0.4591528125844997,1.6293263646922185,1.4928030303030302,-0.1365233343891883,-0.08379127555268995,1.3370538415003026,0.9644624381466487,-0.3725914033536539,-0.2786659682571725,0.5070370370370371,0.6225490196078431,0.11551198257080608,0.2278176427619989,0.4683168316831683,0.5155172413793103,0.04720040969614203,0.10078734417146618
M,30-40,5.367930766238818,4.900284185891006,-0.4676465803478118,-0.0871185938702933,0.5751918158567775,0.6413640595903165,0.06617224373353903,0.11504378523705538,0.46815108759553203,0.6304472763618191,0.16229618876628704,0.34667480876709167,1.6898330058939097,1.5456388676358073,-0.14419413825810246,-0.08533040706103667,1.338935137010059,0.97780906409225,-0.36112607291780907,-0.2697114019460496,0.4428217821782178,0.5194594594594595,0.07663767728124166,0.1730666384663031,0.4393719806763285,0.4957854406130268,0.05641345993669833,0.12839567022426124
M,40-50,5.875737373737374,5.796816079686944,-0.07892129405043047,-0.013431725931656313,0.6150321074138938,0.672285987565758,0.05725388015186417,0.09309088007227317,0.6575551526140828,0.7109673202614379,0.053412167647355124,0.08122842233844163,1.8622592229840025,1.6874314800313233,-0.17482774295267922,-0.09387938091268677,1.579529737206086,1.221544380324265,-0.357985356881821,-0.22664046674742255,0.5502936857562408,0.5176470588235293,-0.032646626932711476,-0.05932582505984396,0.6188657407407407,0.7297101449275363,0.11084440418679553,0.17910896805197551
