step_category,size_control,size_test,completed_control,completed_test,completion_rate_control,completion_rate_test,relative_performance
completion,23526,26961,12394,13905,0.5268213891014197,0.5157449649493713,-0.0210250084396556
start_to_step1,23526,26961,17582,21301,0.7473433647878942,0.7900671340083825,0.05716752330117214
step1_to_step2,17582,21301,17255,19807,0.9814014332840405,0.929862447772405,-0.05251570230458269
step2_to_step3,17255,19807,16315,20101,0.9455230368009273,1.0148432372393599,0.07331413169262357
step3_to_confirm,16315,20101,14210,17939,0.8709776279497395,0.8924431620317397,0.024645333465716623
